date_id,release_date,year,month
982,2014-04-01,2014,4
983,2014-04-02,2014,4
984,2014-04-03,2014,4
985,2014-04-04,2014,4
986,2014-04-07,2014,4
987,2014-04-08,2014,4
988,2014-04-09,2014,4
989,2014-04-10,2014,4
990,2014-04-11,2014,4
991,2014-04-14,2014,4
992,2014-04-15,2014,4
993,2014-04-16,2014,4
994,2014-04-17,2014,4
995,2014-04-18,2014,4
996,2014-04-22,2014,4
997,2014-04-23,2014,4
998,2014-04-24,2014,4
999,2014-04-25,2014,4
1000,2014-04-28,2014,4
1001,2014-04-29,2014,4
1002,2014-04-30,2014,4
1003,2014-05-01,2014,5
1004,2014-05-02,2014,5
1005,2014-05-05,2014,5
1006,2014-05-06,2014,5
1007,2014-05-07,2014,5
1008,2014-05-08,2014,5
1009,2014-05-09,2014,5
1010,2014-05-12,2014,5
1011,2014-05-13,2014,5
1012,2014-05-15,2014,5
1013,2014-05-16,2014,5
1014,2014-05-19,2014,5
1015,2014-05-20,2014,5
1016,2014-05-21,2014,5
1017,2014-05-22,2014,5
1018,2014-05-23,2014,5
1019,2014-05-26,2014,5
1020,2014-05-27,2014,5
1021,2014-05-28,2014,5
1022,2014-05-29,2014,5
1023,2014-05-30,2014,5
1024,2014-06-03,2014,6
1025,2014-06-04,2014,6
1026,2014-06-05,2014,6
1027,2014-06-06,2014,6
1028,2014-06-07,2014,6
1029,2014-06-09,2014,6
1030,2014-06-10,2014,6
1031,2014-06-11,2014,6
1032,2014-06-12,2014,6
1033,2014-06-13,2014,6
1034,2014-06-16,2014,6
1035,2014-06-17,2014,6
1036,2014-06-18,2014,6
1037,2014-06-19,2014,6
1038,2014-06-20,2014,6
1039,2014-06-23,2014,6
1040,2014-06-25,2014,6
1041,2014-06-26,2014,6
1042,2014-06-27,2014,6
1043,2014-06-30,2014,6
1044,2014-07-01,2014,7
1045,2014-07-02,2014,7
1046,2014-07-03,2014,7
1047,2014-07-04,2014,7
1048,2014-07-07,2014,7
1049,2014-07-08,2014,7
1050,2014-07-09,2014,7
1051,2014-07-10,2014,7
1052,2014-07-11,2014,7
1053,2014-07-14,2014,7
1054,2014-07-15,2014,7
1055,2014-07-16,2014,7
1056,2014-07-17,2014,7
1057,2014-07-18,2014,7
1058,2014-07-21,2014,7
1059,2014-07-22,2014,7
1060,2014-07-23,2014,7
1061,2014-07-24,2014,7
1062,2014-07-25,2014,7
1063,2014-07-28,2014,7
1064,2014-07-29,2014,7
1065,2014-07-30,2014,7
1066,2014-07-31,2014,7
1067,2014-08-01,2014,8
1068,2014-08-02,2014,8
1069,2014-08-04,2014,8
1070,2014-08-05,2014,8
1071,2014-08-06,2014,8
1072,2014-08-07,2014,8
1073,2014-08-08,2014,8
1074,2014-08-11,2014,8
1075,2014-08-12,2014,8
1076,2014-08-13,2014,8
1077,2014-08-14,2014,8
1078,2014-08-15,2014,8
1079,2014-08-18,2014,8
1080,2014-08-19,2014,8
1081,2014-08-20,2014,8
1082,2014-08-21,2014,8
1083,2014-08-22,2014,8
1084,2014-08-25,2014,8
1085,2014-08-26,2014,8
1086,2014-08-27,2014,8
1087,2014-08-28,2014,8
1088,2014-08-29,2014,8
1089,2014-09-01,2014,9
1090,2014-09-02,2014,9
1091,2014-09-03,2014,9
1092,2014-09-04,2014,9
1093,2014-09-05,2014,9
1094,2014-09-08,2014,9
1095,2014-09-09,2014,9
1096,2014-09-11,2014,9
1097,2014-09-12,2014,9
1098,2014-09-15,2014,9
1099,2014-09-16,2014,9
1100,2014-09-17,2014,9
1101,2014-09-18,2014,9
1102,2014-09-19,2014,9
1103,2014-09-22,2014,9
1104,2014-09-23,2014,9
1105,2014-09-24,2014,9
1106,2014-09-25,2014,9
1107,2014-09-26,2014,9
1108,2014-09-29,2014,9
1109,2014-09-30,2014,9
1110,2014-10-01,2014,10
1111,2014-10-02,2014,10
1112,2014-10-03,2014,10
1113,2014-10-06,2014,10
1114,2014-10-07,2014,10
1115,2014-10-08,2014,10
1116,2014-10-09,2014,10
1117,2014-10-10,2014,10
1118,2014-10-13,2014,10
1119,2014-10-14,2014,10
1120,2014-10-15,2014,10
1121,2014-10-16,2014,10
1122,2014-10-17,2014,10
1123,2014-10-20,2014,10
1124,2014-10-21,2014,10
1125,2014-10-22,2014,10
1126,2014-10-23,2014,10
1127,2014-10-24,2014,10
1128,2014-10-27,2014,10
1129,2014-10-28,2014,10
1130,2014-10-29,2014,10
1131,2014-10-30,2014,10
1132,2014-10-31,2014,10
1133,2014-11-03,2014,11
1134,2014-11-04,2014,11
1135,2014-11-05,2014,11
1136,2014-11-06,2014,11
1137,2014-11-07,2014,11
1138,2014-11-10,2014,11
1139,2014-11-11,2014,11
1140,2014-11-12,2014,11
1141,2014-11-13,2014,11
1142,2014-11-14,2014,11
1143,2014-11-17,2014,11
1144,2014-11-18,2014,11
1145,2014-11-19,2014,11
1146,2014-11-20,2014,11
1147,2014-11-21,2014,11
1148,2014-11-24,2014,11
1149,2014-11-25,2014,11
1150,2014-11-26,2014,11
1151,2014-11-27,2014,11
1152,2014-11-28,2014,11
1153,2014-12-01,2014,12
1154,2014-12-02,2014,12
1155,2014-12-03,2014,12
1156,2014-12-04,2014,12
1157,2014-12-05,2014,12
1158,2014-12-08,2014,12
1159,2014-12-09,2014,12
1160,2014-12-10,2014,12
1161,2014-12-11,2014,12
1162,2014-12-12,2014,12
1163,2014-12-15,2014,12
1164,2014-12-16,2014,12
1165,2014-12-17,2014,12
1166,2014-12-18,2014,12
1167,2014-12-19,2014,12
1168,2014-12-22,2014,12
1169,2014-12-23,2014,12
1170,2014-12-24,2014,12
1171,2014-12-29,2014,12
1172,2014-12-31,2014,12
1173,2015-01-01,2015,1
1174,2015-01-02,2015,1
1175,2015-01-05,2015,1
1176,2015-01-06,2015,1
1177,2015-01-07,2015,1
1178,2015-01-08,2015,1
1179,2015-01-09,2015,1
1180,2015-01-12,2015,1
1181,2015-01-13,2015,1
1182,2015-01-14,2015,1
1183,2015-01-15,2015,1
1184,2015-01-16,2015,1
1185,2015-01-19,2015,1
1186,2015-01-20,2015,1
1187,2015-01-21,2015,1
1188,2015-01-22,2015,1
1189,2015-01-23,2015,1
1190,2015-01-26,2015,1
1191,2015-01-27,2015,1
1192,2015-01-28,2015,1
1193,2015-01-29,2015,1
1194,2015-01-30,2015,1
1195,2015-02-02,2015,2
1196,2015-02-03,2015,2
1197,2015-02-04,2015,2
1198,2015-02-05,2015,2
1199,2015-02-06,2015,2
1200,2015-02-09,2015,2
1201,2015-02-10,2015,2
1202,2015-02-11,2015,2
1203,2015-02-12,2015,2
1204,2015-02-13,2015,2
1205,2015-02-16,2015,2
1206,2015-02-17,2015,2
1207,2015-02-18,2015,2
1208,2015-02-19,2015,2
1209,2015-02-20,2015,2
1210,2015-02-23,2015,2
1211,2015-02-24,2015,2
1212,2015-02-25,2015,2
1213,2015-02-26,2015,2
1214,2015-02-27,2015,2
1215,2015-03-02,2015,3
1216,2015-03-03,2015,3
1217,2015-03-04,2015,3
1218,2015-03-05,2015,3
1219,2015-03-06,2015,3
1220,2015-03-09,2015,3
1221,2015-03-10,2015,3
1222,2015-03-11,2015,3
1223,2015-03-12,2015,3
1224,2015-03-13,2015,3
1225,2015-03-16,2015,3
1226,2015-03-17,2015,3
1227,2015-03-18,2015,3
1228,2015-03-19,2015,3
1229,2015-03-20,2015,3
1230,2015-03-23,2015,3
1231,2015-03-24,2015,3
1232,2015-03-25,2015,3
1233,2015-03-26,2015,3
1234,2015-03-27,2015,3
1235,2015-03-30,2015,3
1236,2015-03-31,2015,3
1237,2015-04-01,2015,4
1238,2015-04-02,2015,4
1239,2015-04-03,2015,4
1240,2015-04-06,2015,4
1241,2015-04-07,2015,4
1242,2015-04-08,2015,4
1243,2015-04-09,2015,4
1244,2015-04-10,2015,4
1245,2015-04-13,2015,4
1246,2015-04-14,2015,4
1247,2015-04-15,2015,4
1248,2015-04-16,2015,4
1249,2015-04-17,2015,4
1250,2015-04-20,2015,4
1251,2015-04-21,2015,4
1252,2015-04-22,2015,4
1253,2015-04-23,2015,4
1254,2015-04-24,2015,4
1255,2015-04-27,2015,4
1256,2015-04-28,2015,4
1257,2015-04-29,2015,4
1258,2015-04-30,2015,4
1259,2015-05-01,2015,5
1260,2015-05-04,2015,5
1261,2015-05-05,2015,5
1262,2015-05-06,2015,5
1263,2015-05-07,2015,5
1264,2015-05-08,2015,5
1265,2015-05-11,2015,5
1266,2015-05-12,2015,5
1267,2015-05-13,2015,5
1268,2015-05-14,2015,5
1269,2015-05-15,2015,5
1270,2015-05-18,2015,5
1271,2015-05-19,2015,5
1272,2015-05-20,2015,5
1273,2015-05-21,2015,5
1274,2015-05-22,2015,5
1275,2015-05-25,2015,5
1276,2015-05-26,2015,5
1277,2015-05-27,2015,5
1278,2015-05-28,2015,5
1279,2015-05-29,2015,5
1280,2015-05-30,2015,5
1281,2015-06-01,2015,6
1282,2015-06-02,2015,6
1283,2015-06-03,2015,6
1284,2015-06-04,2015,6
1285,2015-06-05,2015,6
1286,2015-06-08,2015,6
